#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
449,Sangrur,328,GEN,Punjab,N. Kaur,Akali Dal - Sant Fateh Singh Group,472029,335192,71.0 %,98212,29.3%
450,Sasaram,94,SC,Bihar [1947 - 1999],J. Ram,Indian National Congress,535908,291181,54.3 %,110666,38.0%
451,Satara,264,GEN,Maharashtra,Y. B. Chavan,Indian National Congress,459120,317231,69.1 %,127836,40.3%
452,Satna,153,GEN,Madhya Pradesh [1947 - 1999],D.V. Singh,Indian National Congress,525827,285917,54.4 %,36579,12.8%
453,Sawai Madhopur,339,ST,Rajasthan,M. Lal,Swatantra,543899,274924,50.6 %,61417,22.3%
454,Secunderabad,31,GEN,Andhra Pradesh,B. A. Mirza,Indian National Congress,466291,241660,51.8 %,82532,34.2%
455,Serampore,461,GEN,West Bengal,B. Ghosh,Indian National Congress,506446,374672,74.0 %,22836,6.1%
456,Shahabad,91,GEN,Bihar [1947 - 1999],B. Bhagat,Indian National Congress,553603,311639,56.3 %,7227,2.3%
457,Shahabad,367,GEN,Uttar Pradesh [1947 - 1999],J. B. Singh,Bhartiya Jan Sangh,510622,266247,52.1 %,1513,0.6%
458,Shahdol,155,ST,Madhya Pradesh [1947 - 1999],G. Kumari,Indian National Congress,471957,191246,40.5 %,97804,51.1%
459,Shahjahanpur,365,GEN,Uttar Pradesh [1947 - 1999],P. K. Khanna,Indian National Congress,515295,257201,49.9 %,3082,1.2%
460,Shahjapur,177,GEN,Madhya Pradesh [1947 - 1999],P. Baboorao,Bhartiya Jan Sangh,503266,289381,57.5 %,39904,13.8%
461,Shimoga,288,GEN,Mysore,J. H. Patel,Samyukta Socialist Party,466047,309326,66.4 %,26054,8.4%
462,Sholapur,257,GEN,Maharashtra,S. F. Damani,Indian National Congress,445183,286454,64.4 %,23713,8.3%
463,Siddipet,32,SC,Andhra Pradesh,G. Venkatswamy,Indian National Congress,489114,322462,65.9 %,97830,30.3%
464,Sidhi,156,GEN,Madhya Pradesh [1947 - 1999],B.P. Singh,Indian National Congress,519407,252241,48.6 %,82383,32.7%
465,Sikar,333,GEN,Rajasthan,S. Saboo,Bhartiya Jan Sangh,607264,382686,63.0 %,20108,5.3%
466,Simla,510,SC,Himachal Pradesh,P. Singh,Indian National Congress,253012,135164,53.4 %,33130,24.5%
467,Singhbhum,105,ST,Bihar [1947 - 1999],K. Birua,Independent,488906,143332,29.3 %,3627,2.5%
468,Sirsa,141,SC,Haryana,D. Singh,Indian National Congress,507661,365218,71.9 %,159281,43.6%
469,Sitamarhi,66,GEN,Bihar [1947 - 1999],N.P. Yadav,Indian National Congress,564690,375492,66.5 %,517,0.1%
470,Sitapur,368,GEN,Uttar Pradesh [1947 - 1999],S. Nand,Bhartiya Jan Sangh,509509,272222,53.4 %,26074,9.6%
471,Sivaganga,217,GEN,Madras,Kiruttinan,Dravida Munetra Kazhagam,554582,438305,79.0 %,58217,13.3%
472,Sivakasi,219,GEN,Madras,P. Ramamoorthy,Swatantra,525365,423918,80.7 %,31672,7.5%
473,Siwan,60,GEN,Bihar [1947 - 1999],M. Yusuf,Indian National Congress,553081,258446,46.7 %,25777,10.0%
474,South Delhi,501,GEN,Delhi,B. Madhok,Bhartiya Jan Sangh,298699,200365,67.1 %,36321,18.1%
475,Srikakulam,1,GEN,Andhra Pradesh,G. Latchanna,Swatantra,490667,349154,71.2 %,60358,17.3%
476,Srinagar,143,GEN,Jammu & Kashmir,B.G. Mohamad,Jammu & Kashmir National Conference,354364,131997,37.3 %,9236,7.0%
477,Sriperumbudur,187,SC,Madras,P. Sivasankaran,Dravida Munetra Kazhagam,595157,459827,77.3 %,101765,22.1%
478,Sultanpur,377,GEN,Uttar Pradesh [1947 - 1999],G. Sahai,Indian National Congress,527773,235108,44.6 %,46010,19.6%
479,Sundargarh,313,ST,Orissa,D. Amat,Swatantra,478738,217211,45.4 %,44818,20.6%
480,Surat,130,GEN,Gujarat,M.R. Desai,Indian National Congress,422138,260765,61.8 %,122908,47.1%
481,Surendranagar,110,GEN,Gujarat,Meghrajji,Swatantra,450551,284560,63.2 %,72001,25.3%
482,Surguja,157,ST,Madhya Pradesh [1947 - 1999],B. Singh,Indian National Congress,439322,162101,36.9 %,10427,6.4%
483,Tamluk,465,GEN,West Bengal,S. C. Samanta,Bangla Congress,515415,416203,80.8 %,150324,36.1%
484,Tarn Taran,319,GEN,Punjab,G.S. Dhillon,Indian National Congress,542288,362554,66.9 %,45192,12.5%
485,Tehri Garhwal,353,GEN,Uttar Pradesh [1947 - 1999],M. M. Shah,Indian National Congress,462166,171159,37.0 %,40894,23.9%
486,Telli Cherry,479,GEN,Kerala,P. Gopalan,Communist Party Of India (MARXIST),475141,368285,77.5 %,84312,22.9%
487,Tenkasi,221,SC,Madras,R. S. Arumugam,Indian National Congress,535903,415332,77.5 %,5746,1.4%
488,Tezpur,50,GEN,Assam,B. C. Bhagavati,Indian National Congress,386826,244275,63.2 %,61475,25.2%
489,Thanjavur,216,GEN,Madras,D.S. Gopalar,Dravida Munetra Kazhagam,521430,440409,84.5 %,22574,5.1%
490,Tikamgarh,152,SC,Madhya Pradesh [1947 - 1999],N. Ram,Indian National Congress,541011,293115,54.2 %,66978,22.9%
491,Tindivanam,193,GEN,Madras,T. D. R. Naidu,Dravida Munetra Kazhagam,547024,419246,76.6 %,32070,7.6%
492,Tiruchendur,222,GEN,Madras,Santosham,Swatantra,548835,399984,72.9 %,394,0.1%
493,Tiruchengode,200,GEN,Madras,K. Anbazhagan,Dravida Munetra Kazhagam,573903,430625,75.0 %,48251,11.2%
494,Tiruchirapalli,210,GEN,Madras,K. A. Nambiar,Communist Party Of India (MARXIST),537064,413935,77.1 %,2545,0.6%
495,Tirunelveli,220,GEN,Madras,S. Xavier,Swatantra,543945,401066,73.7 %,41991,10.5%
496,Tirupathi,20,SC,Andhra Pradesh,C. Dass,Indian National Congress,542125,392936,72.5 %,6769,1.7%
497,Tirupattur,191,GEN,Madras,R. M. Gounder,Dravida Munetra Kazhagam,478183,358100,74.9 %,29231,8.2%
498,Tiruttani,189,GEN,Madras,S. K. Sambandhan,Dravida Munetra Kazhagam,538610,422500,78.4 %,75549,17.9%
499,Tonk,341,SC,Rajasthan,J. Lal,Swatantra,484116,303984,62.8 %,14807,4.9%
500,Trichur,485,GEN,Kerala,C. Janardhanan,Communist Party Of India,458629,371210,80.9 %,20869,5.6%
501,Tripura East,520,ST,Tripura,S. M. M. K. B. K. D .Bahadur,Indian National Congress,305672,226756,74.2 %,38586,17.0%
502,Tripura West,519,GEN,Tripura,J. K. Choudhury,Indian National Congress,296292,223765,75.5 %,33822,15.1%
503,Trivandrum,496,GEN,Kerala,P. Viswambharan,Samyukta Socialist Party,457981,322711,70.5 %,4478,1.4%
504,Tumkur,275,GEN,Mysore,K. Lakkappa,Praja Socialist Party,446612,282424,63.2 %,261,0.1%
505,Udaipur,345,ST,Rajasthan,Dhuleshwar,Indian National Congress,529320,309849,58.5 %,65506,21.1%
506,Udhampur,146,GEN,Jammu & Kashmir,G.S. Brigadier,Indian National Congress,418795,253797,60.6 %,56878,22.4%
507,Udipi,285,GEN,Mysore,J. M. L. Prabhu,Swatantra,454974,307257,67.5 %,31310,10.2%
508,Ujjain,178,SC,Madhya Pradesh [1947 - 1999],Hukumchand,Bhartiya Jan Sangh,498856,331094,66.4 %,55331,16.7%
509,Uluberia,460,GEN,West Bengal,J. K. Mondal,Indian National Congress,516638,381423,73.8 %,18025,4.7%
510,Unnao,373,GEN,Uttar Pradesh [1947 - 1999],K. Dev,Indian National Congress,516659,249182,48.2 %,34386,13.8%
511,Varanasi,404,GEN,Uttar Pradesh [1947 - 1999],S. N. Singh,Communist Party Of India (MARXIST),495870,294664,59.4 %,18167,6.2%
512,Vellore,190,SC,Madras,Kuchelar,Dravida Munetra Kazhagam,504140,379272,75.2 %,69732,18.4%
513,Vidisha,176,GEN,Madhya Pradesh [1947 - 1999],S. Sharma,Bhartiya Jan Sangh,508603,291220,57.3 %,64937,22.3%
514,Vijayawada,13,GEN,Andhra Pradesh,K.L. Rao,Indian National Congress,522116,RU,,RU,
515,Visakhapatnam,4,GEN,Andhra Pradesh,T. Viswanatham,Independent,523617,340717,65.1 %,34073,10.0%
516,Vishnupur,471,SC,West Bengal,P. Mondal,Indian National Congress,520033,315034,60.6 %,41190,13.1%
517,Wandiwash,192,GEN,Madras,G. Viswanathan,Dravida Munetra Kazhagam,523306,403205,77.1 %,80659,20.0%
518,Warangal,38,GEN,Andhra Pradesh,R. S. Reddy.,Indian National Congress,522827,361830,69.2 %,69945,19.3%
519,Wardha,248,GEN,Maharashtra,K. J. Bajaj,Indian National Congress,532594,383123,71.9 %,29104,7.6%
520,Yeotmal,249,GEN,Maharashtra,D. S. Patil,Indian National Congress,483231,370703,76.7 %,13648,3.7%
