#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
460,Tiruppur,150,GEN,Madras,T. S. Avinashilingam Chettiar,Indian National Congress,367261,208375,56.7 %
461,Tiruvallur,140,GEN,Madras,Margatham Chandrasekar,Indian National Congress,704970,616210,43.7 %
462,Tiruvallur,140,GEN,Madras,P. Natesan,Indian National Congress,704970,616210,43.7 %
463,Tonk,357,GEN,Rajasthan,Panna Lal Kaushik,Indian National Congress,387328,129770,33.5 %
464,Trichure,380,GEN,Travancore Cochin,Iyyunni Chalakka,Indian National Congress,338603,172906,51.1 %
465,Tripura East,396,GEN,Tripura,Dasaratha Deb,Communist Party Of India,179607,79520,44.3 %
466,Tripura West,397,GEN,Tripura,Birendra Chandra Dutt,Communist Party Of India,150199,77851,51.8 %
467,Trivandrum,371,GEN,Travancore Cochin,Annie Mascarene,Independent,356512,255044,71.5 %
468,Tumkur,334,GEN,Mysore,C. R. Basappa,Indian National Congress,374292,223505,59.7 %
469,Udaipur,359,GEN,Rajasthan,Balwant Singh,Indian National Congress,368279,91944,25.0 %
470,Ujjain,327,GEN,Madhya Bharat,Radhelal Vyas,Indian National Congress,352375,133816,38.0 %
471,Uluberia,288,GEN,West Bengal,Satyaban Roy,Indian National Congress,382085,184939,48.4 %
472,Unnao District Cum Rae Bareli Distt (WEST) CUM HARDOI DISTRICT (SOUTH EAST),242,GEN,Uttar Pradesh [1947 - 1999],Vishamabher,Indian National Congress,744918,504827,33.9 %
473,Unnao District Cum Rae Bareli Distt (WEST) CUM HARDOI DISTRICT (SOUTH EAST),242,GEN,Uttar Pradesh [1947 - 1999],Swami Raman,Indian National Congress,744918,504827,33.9 %
474,Vellore,143,GEN,Madras,Muthukrishnan,Indian National Congress,731534,667641,45.6 %
475,Vellore,143,GEN,Madras,Ramachander,Common Weal Party,731534,667641,45.6 %
476,Vijayavada,125,GEN,Madras,Harindranath Chatopadhyya,Independent,367722,264680,72.0 %
477,Vikarabad,310,GEN,Hyderabad,Ebenezer S. A.,Indian National Congress,377940,181357,48.0 %
478,Visahkapatnam,119,GEN,Madras,Lanka Sundaram,Independent,707707,339476,48.0 %
479,Visahkapatnam,119,GEN,Madras,Gam Malludora,Independent,707707,RU,
480,Vizianagaram,118,GEN,Madras,Kandala Subramaniam,Socialist Party,374684,181852,48.5 %
481,Wandiwah,144,GEN,Madras,Munisami,Common Weal Party,336147,177512,52.8 %
482,Warangal,321,GEN,Hyderabad,Pendyal Raghava Rao,Peoples Democratic Front,365451,186506,51.0 %
483,Wardha,107,GEN,Madhya Pradesh [1947 - 1999],Shrimannarayan Dharamnarayan Agarwal,Indian National Congress,390119,238029,61.0 %
484,West Dinajpur,278,GEN,West Bengal,Susil Ranjan Chattopadhyay,Indian National Congress,365483,149398,40.9 %
485,West Khandesh,71,GEN,Bombay,Bharatiya Shaligram Ramchandra,Indian National Congress,753372,754356,50.1 %
486,West Khandesh,71,GEN,Bombay,Natwadkar Jayantrao Ganpat,Indian National Congress,753372,754356,50.1 %
487,Yadgir,308,GEN,Hyderabad,Krishna Charya Joshi,Indian National Congress,362832,RU,
488,Yeotmal,113,GEN,Madhya Pradesh [1947 - 1999],Sahadeo Arjun Bharati,Indian National Congress,396935,221757,55.9 %
489,Zalawad,366,GEN,Saurashtra,Parikh Rasiklal Umedchand,Indian National Congress,315707,163963,51.9 %
