No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
26,GEN,Madhya Pradesh [1947 - 1999],Prahlad Singh Patel,Bharatiya Janta Party,1047662,624999,59.7 %,64847,10.4%
26,GEN,West Bengal,Pradip Bhattacharya,Indian National Congress,1249680,990773,79.3 %,5463,0.6%
16,GEN,Uttar Pradesh [1947 - 1999],Aliyas Azmi,Bahujan Samaj Party,1115234,501919,45.0 %,57102,11.4%
11,ST,Madhya Pradesh [1947 - 1999],Gyan Singh,Bharatiya Janta Party,1143068,657156,57.5 %,53395,8.1%
14,GEN,Uttar Pradesh [1947 - 1999],Ram Murthi Singh,Indian National Congress,1105615,571498,51.7 %,6903,1.2%
33,SC,Madhya Pradesh [1947 - 1999],Thawarchand Gehlot,Bharatiya Janta Party,1113464,627127,56.3 %,129639,20.7%
12,GEN,Bihar [1947 - 1999],Anand Mohan,Samata Party,1084065,692749,63.9 %,40637,5.9%
1,ST,Meghalaya,G.Gilbert Swell,Independent,682709,385600,56.5 %,79302,20.6%
21,GEN,Karnataka,S Bangarappa,Karnataka Congress Party,1078500,735610,68.2 %,72236,9.8%
37,GEN,Maharashtra,Valyal Lingraj Balairayya,Bharatiya Janta Party,986021,553400,56.1 %,17087,3.1%
32,SC,Andhra Pradesh,Yellaiah Nandi,Indian National Congress,1576387,930352,59.0 %,87967,9.5%
10,ST,Madhya Pradesh [1947 - 1999],Tilak Raj Singh,All India Indira Congress (TIWARI),1197222,665407,55.6 %,8204,1.2%
5,GEN,Rajasthan,Hari Singh,Indian National Congress,1303706,612864,47.0 %,38009,6.2%
1,GEN,Sikkim,Bhim Prasad Dahal,Sikkim Democratic Front,229160,177440,77.4 %,82043,46.2%
2,GEN,Assam,Sontosh Mohan Deb,Indian National Congress,753298,592252,78.6 %,68141,11.5%
1,GEN,Himachal Pradesh,K D Sultanpuri,Indian National Congress,883691,470278,53.2 %,91133,19.4%
51,ST,Bihar [1947 - 1999],Chitrasen Sinku,Bharatiya Janta Party,838226,479210,57.2 %,11947,2.5%
10,GEN,Haryana,Selja,Indian National Congress,1072284,847173,79.0 %,15147,1.8%
11,GEN,Bihar [1947 - 1999],Nawal Kishore Rai,Janata Dal,1115473,746914,67.0 %,82257,11.0%
17,GEN,Uttar Pradesh [1947 - 1999],Mukhtar Anis,Samajwadi Party,1094628,495954,45.3 %,10046,2.0%
33,GEN,Tamil Nadu,Chidambaram P.,Tamil Maanila Congress (MOOPANAR),1057381,674687,63.8 %,247302,36.7%
35,GEN,Tamil Nadu,"Alagirisamy, V.",Communist Party Of India,1167499,808460,69.3 %,23622,2.9%
5,GEN,Bihar [1947 - 1999],M. Sahabuddin,Janata Dal,992425,630460,63.5 %,165243,26.2%
4,GEN,Haryana,Arvind Kumar,Independent,1058964,725975,68.6 %,49540,6.8%
2,GEN,Delhi [1977 Onwards],Sushma Swaraj,Bharatiya Janta Party,1103959,535551,48.5 %,114006,21.3%
1,GEN,Andhra Pradesh,Kinjarapu Yerrannaidu,Telugu Desam,983329,647219,65.8 %,34578,5.3%
2,GEN,Jammu & Kashmir,Ghulam Mohammad Mir,Indian National Congress,786301,321928,40.9 %,1599,0.5%
4,GEN,Tamil Nadu,Nagaratnam.T,Dravida Munetra Kazhagam,1156491,779085,67.4 %,245711,31.5%
26,GEN,Uttar Pradesh [1947 - 1999],Devendra Bahadur Rai,Bharatiya Janta Party,1219241,574530,47.1 %,118284,20.6%
20,GEN,Orissa,Frida Topno,Indian National Congress,1099071,619621,56.4 %,13073,2.1%
24,GEN,Gujarat,Kashiram Rana,Bharatiya Janta Party,1890626,633385,33.5 %,175261,27.7%
2,GEN,Gujarat,Sanat Mehta,Indian National Congress,935438,363520,38.9 %,64852,17.8%
12,ST,Madhya Pradesh [1947 - 1999],Khelsai Singh,Indian National Congress,1046615,675224,64.5 %,8771,1.3%
30,GEN,West Bengal,Jayanta Bhattacharya,Indian National Congress,1045585,938889,89.8 %,7910,0.8%
3,GEN,Punjab,Major Singh Uboke,Shiromani Akali Dal,1001343,640771,64.0 %,33852,5.3%
1,GEN,Uttar Pradesh [1947 - 1999],Manbender Shah,Bharatiya Janta Party,1130991,271592,24.0 %,34917,12.9%
14,GEN,Andhra Pradesh,Sarada Tadiparthi,Telugu Desam,961992,632237,65.7 %,36488,5.8%
37,SC,Tamil Nadu,"Arunachalam, M.",Tamil Maanila Congress (MOOPANAR),973084,680617,69.9 %,95926,14.1%
9,GEN,Assam,Iswar Prasanna Hazarika,Indian National Congress,853710,677449,79.4 %,6719,1.0%
10,GEN,Maharashtra,Paranjpe Prakash Vishwanath,Shiv Sena,2832514,913378,32.3 %,192637,21.1%
31,GEN,Tamil Nadu,Palanimanickam S.S,Dravida Munetra Kazhagam,968000,700830,72.4 %,200428,28.6%
10,GEN,Tamil Nadu,Venkatraman G,Dravida Munetra Kazhagam,1034126,724103,70.0 %,190276,26.3%
38,GEN,Tamil Nadu,Dhanuskodi Athithan R.,Tamil Maanila Congress (MOOPANAR),979656,596500,60.9 %,203711,34.2%
17,GEN,Tamil Nadu,K.P.Ramalingam,Dravida Munetra Kazhagam,1322216,857452,64.9 %,193188,22.5%
27,SC,Tamil Nadu,Adaikkalraj.L,Tamil Maanila Congress (MOOPANAR),1070053,720232,67.3 %,264708,36.8%
36,GEN,Tamil Nadu,Sivaprakasam D.S.A.,Dravida Munetra Kazhagam,1023826,669818,65.4 %,118280,17.7%
20,SC,Andhra Pradesh,Nelavala Subrahmanyam,Indian National Congress,1208638,758791,62.8 %,52332,6.9%
8,GEN,Tamil Nadu,Venugopal.D,Dravida Munetra Kazhagam,1061817,732490,69.0 %,240264,32.8%
13,GEN,Rajasthan,Shyam Lal Banshiwal,Bharatiya Janta Party,1107980,435758,39.3 %,2726,0.6%
9,SC,Kerala,V.V.Raghavan,Communist Party Of India,995232,708216,71.2 %,1480,0.2%
2,ST,Tripura,Baju Ban Riyan,Communist Party Of India (MARXIST),788260,612132,77.7 %,154369,25.2%
1,GEN,Tripura,Badal Choudhury,Communist Party Of India (MARXIST),859648,691216,80.4 %,80811,11.7%
20,GEN,Kerala,K.V.Surendranath,Communist Party Of India,1116833,721087,64.6 %,20802,2.9%
8,GEN,Karnataka,C N Bhaskarappa,Janata Dal,1049708,684272,65.2 %,15712,2.3%
2,ST,Meghalaya,Purno Agitok Sangma,Indian National Congress,410044,287772,70.2 %,184790,64.2%
18,GEN,Rajasthan,Girija Vyas,Indian National Congress,1196874,499849,41.8 %,40465,8.1%
5,GEN,Jammu & Kashmir,Chaman Lal Gupta,Bharatiya Janta Party,862236,459456,53.3 %,70055,15.2%
18,SC,Karnataka,Oscar Fernandes,Indian National Congress,993030,642416,64.7 %,2454,0.4%
38,SC,Madhya Pradesh [1947 - 1999],Satyanarian Jatiya,Bharatiya Janta Party,1020916,596980,58.5 %,111257,18.6%
25,GEN,West Bengal,Hannan Mollah,Communist Party Of India (MARXIST),1043340,863906,82.8 %,27842,3.2%
22,GEN,Uttar Pradesh [1947 - 1999],Devi Bux,Bharatiya Janta Party,1177719,489543,41.6 %,45656,9.3%
9,GEN,Bihar [1947 - 1999],Raghybansh Prasad Singh,Janata Dal,1054819,711763,67.5 %,62683,8.8%
9,GEN,Tamil Nadu,Balaraman.L,Tamil Maanila Congress (MOOPANAR),1031471,717844,69.6 %,173304,24.1%
52,GEN,Uttar Pradesh [1947 - 1999],Shankar Prasad Jaiswal,Bharatiya Janta Party,1420576,576473,40.6 %,100692,17.5%
7,GEN,Tamil Nadu,Shanmugam.P,Dravida Munetra Kazhagam,1050168,711693,67.8 %,211035,29.7%
31,GEN,Madhya Pradesh [1947 - 1999],Shivraj Singh Chauhan,Bharatiya Janta Party,1082155,586652,54.2 %,175758,30.0%
13,GEN,Andhra Pradesh,Upendra Parvathaneni,Indian National Congress,1351063,893440,66.1 %,114274,12.8%
4,GEN,Andhra Pradesh,T. Subbarami Reddi,Indian National Congress,1394475,849194,60.9 %,7459,0.9%
36,GEN,West Bengal,Sandhya Bauri,Communist Party Of India (MARXIST),1011830,851257,84.1 %,265846,31.2%
39,GEN,Andhra Pradesh,Ajmeera Chandulal,Telugu Desam,1118768,756120,67.6 %,17440,2.3%
27,GEN,Maharashtra,Mude Vijay Annaji,Bharatiya Janta Party,1041353,554985,53.3 %,21975,4.0%
20,ST,Maharashtra,Gawali Pundlikrao Ramji,Shiv Sena,970735,592491,61.0 %,16689,2.8%
28,GEN,Maharashtra,Rajabhau Ganeshrao Thakare,Bharatiya Janta Party,1005892,589243,58.6 %,38562,6.5%
