Age,Constituency Name,District Name,Family ID,Father/Husband Name,Winning Candidate,Name,Party,Pc Name,Political Role,Relation,State,State Name,Type,UID,UID (PC all relatives.csv),if dynasty,Year,Years Held,Electors,Margin,Margin %,No,Turnout,Votes,States
,,,,,Elumalai Alias Ezhilmalai R.,,Pattali Makkal Katchi,Chidambaram,,,Tamil Nadu,,GEN,TN1998PC12,,0,1998,,1054642,7955,0.012,12,0.649,684155,Tamil Nadu
,,,,,R.L.Jalappa,,Indian National Congress,Chikballapur,,,Karnataka,,ST,KA1998PC09,,0,1998,,1144669,127055,0.154,9,0.721,825229,Karnataka
,,,,,Jigajinagi Ramesh Chandappa,,Lok Shakti,Chikkodi,,,Karnataka,,GEN,KA1998PC26,,0,1998,,1069088,131238,0.189,26,0.649,693358,Karnataka
,,,,,Sreekantappa D.C.,,Bharatiya Janta Party,Chikmagalur,,,Karnataka,,GEN,KA1998PC20,,0,1998,,1050631,52496,0.072,20,0.693,727521,Karnataka
,,,,,Prof. Jogendra Kawade,,Republican Party Of India,Chimur,,,Maharashtra,,GEN,MH1998PC25,,0,1998,,1011322,2122,0.003,25,0.746,753892,Maharashtra
,,,,,Varkala Radhakrishnan,,Communist Party Of India (MARXIST),Chirayinkil,,,Kerala,,GEN,KL1998PC19,,0,1998,,1059243,7542,0.011,19,0.657,695722,Kerala
,,,,,C.P.Mudala Giriyappa,,Indian National Congress,Chitradurga,,,Karnataka,,GEN,KA1998PC07,,0,1998,,1152852,58321,0.076,7,0.662,763214,Karnataka
,,,,,Nuthanakalva Ramakrishna Reddy,,Telugu Desam,Chittoor,,,Andhra Pradesh,,GEN,AP1998PC21,,0,1998,,1123338,80081,0.102,21,0.699,785684,Andhra Pradesh
,,,,,Udai Lal Anjana,,Indian National Congress,Chittorgarh,,,Rajasthan,,ST,RJ1998PC19,,0,1998,,1176978,25377,0.031,19,0.696,818864,Rajasthan
,,,,,Narendra Budania,,Indian National Congress,Churu,,,Rajasthan,,GEN,RJ1998PC03,,0,1998,,1141518,29732,0.041,3,0.639,729295,Rajasthan
,Tiruppur,Tiruppur,177,,Radhakrishnan C.P.,C.K. Kuppusamy,Bharatiya Janta Party,Coimbatore,"Member of Parliament, Lok Sabha (Congress)",Uncle,Tamil Nadu,Tamil Nadu,GEN,TN1998PC20,TN1998PC20,1,1998,"1991-1996, 1996-1998, 1999-2004",1495356,144676,0.175,20,0.553,826652,Tamil Nadu
,,,,,Sudhir Giri,,Communist Party Of India (MARXIST),Contai,,,West Bengal,,GEN,WB1998PC31,,0,1998,,972382,74858,0.09,31,0.858,834197,West Bengal
,,,,,Amar Roypradhan,,All India Forward Bloc,Cooch Behar,,,West Bengal,,SC,WB1998PC01,,0,1998,,1097193,123166,0.134,1,0.836,916783,West Bengal
,,,,,Dhamotharan M.C.,,All India Anna Dravida Munnetra Kazhagam,Cuddalore,,,Tamil Nadu,,GEN,TN1998PC11,,0,1998,,1076266,27129,0.041,11,0.612,658340,Tamil Nadu
,Pulivendula,Kadapa,181,,Y.S.Rajasekhar Reddy,Y.S. Vijayalakshmi,Indian National Congress,Cuddapah,"Chairperson of YSR Congress Party, MLA Pulivendula",Spouse,Andhra Pradesh,Andhra Pradesh,GEN,AP1998PC23,AP1998PC23,1,1998,"2011-2019 (MLA), Chairperson (2011-present)",1107474,53881,0.072,23,0.678,750722,Andhra Pradesh
,Not applicable (State role),"Odisha (Chief Minister), Maharashtra (Governor)",186,,Bhartruhari Mahatab,Harekrushna Mahtab,Biju Janata Dal,Cuttack,Chief Minister of Odisha; Union Minister; Governor of Maharashtra,Father,Orissa,"Odisha, Maharashtra",GEN,OR1998PC06,OR1998PC06,1,1998,"1946–1950, 1956–1961 (CM); 1950-1952 (Union Minister for Commerce and Industry), 1955 (Governor)",1173209,112694,0.169,6,0.57,668198,Orissa
,Dadra & Nagar Haveli,Dadra & Nagar Haveli,187,,Delkar Mohanbhai Sanjibhai,Sanjibhai Rupjibhai Delkar,Bharatiya Janta Party,Dadra & Nagar Haveli,"Member of Parliament, Lok Sabha",Father,Dadra & Nagar Haveli,Dadra & Nagar Haveli,GEN,DH1998PC01,DH1998PC01,1,1998,1967-1971,95832,8717,0.117,1,0.774,74205,Dadra & Nagar Haveli
,,,,,Nam Shankar Sakharam,,Indian National Congress,Dahanu,,,Maharashtra,,GEN,MH1998PC11,,0,1998,,1415918,34558,0.059,11,0.41,580933,Maharashtra
,,,,,Damor Somjibhai Punjabhai,,Indian National Congress,Dahod,,,Gujarat,,GEN,GJ1998PC17,,0,1998,,1015317,114280,0.211,17,0.534,542107,Gujarat
,,,,,Devjibhai J. Tandel,,Bharatiya Janta Party,Daman And Diu,,,Daman & Diu,,GEN,DD1998PC01,,0,1998,,71934,1236,0.024,1,0.728,52389,Daman & Diu
,,,,,Dr. Ramkrishna Kusmaria,,Bharatiya Janta Party,Damoh,,,Madhya Pradesh [1947 - 1999],,GEN,MP1998PC07,,0,1998,,1184121,130598,0.182,7,0.606,718054,Madhya Pradesh
,,,,,Md.Ali Asharaf Fatmi,,Rashtriya Janata Dal,Darbhanga,,,Bihar [1947 - 1999],,GEN,BR1998PC15,,0,1998,,1043327,36108,0.049,15,0.71,740510,Bihar
,,,,,Ananda Pathak,,Communist Party Of India (MARXIST),Darjeeling,,,West Bengal,,GEN,WB1998PC04,,0,1998,,1238587,122556,0.191,4,0.518,641281,West Bengal
,"Dausa (Lok Sabha), Hindoli (Vidhan Sabha)","Dausa, Bundi",195,,Rajesh Pilot,Rama Pilot,Indian National Congress,Dausa,"Member of Parliament, 13th Lok Sabha (Dausa); Member of Rajasthan Legislative Assembly (Hindoli)",Spouse,Rajasthan,Rajasthan,GEN,RJ1998PC07,RJ1998PC07,1,1998,"2000–2004 (MP), Other MLA terms: 2004–2008",1223211,61074,0.075,7,0.669,817754,Rajasthan
,,,,,Shamanur Shiva Shankarappa,,Indian National Congress,Davangere,,,Karnataka,,ST,KA1998PC06,,0,1998,,1181787,11332,0.014,6,0.701,828009,Karnataka
,,,,,Madan Lal Khurana,,Bharatiya Janta Party,Delhi Sadar,,,Delhi [1977 Onwards],,GEN,DL1998PC06,,0,1998,,511403,48494,0.162,6,0.585,298919,Delhi
,,,,,Debendra Pradhan,,Bharatiya Janta Party,Deogarh,,,Orissa,,GEN,OR1998PC18,,0,1998,,1132836,105427,0.156,18,0.598,677421,Orissa
,,,,,Mohan Singh,,Samajwadi Party,Deoria,,,Uttar Pradesh [1947 - 1999],,GEN,UP1998PC41,,0,1998,,1251198,4068,0.006,41,0.543,678804,Uttar Pradesh
,,,,,Rita Verma,,Bharatiya Janta Party,Dhanbad,,,Bihar [1947 - 1999],,GEN,BR1998PC47,,0,1998,,1433645,178689,0.201,47,0.619,887017,Bihar
,,,,,Varma Ratilal Kalidas,,Bharatiya Janta Party,Dhandhuka,,,Gujarat,,GEN,GJ1998PC09,,0,1998,,983991,16395,0.027,9,0.617,607351,Gujarat
,,,,,Gajendra Singh Rajukhedi,,Indian National Congress,Dhar,,,Madhya Pradesh [1947 - 1999],,ST,MP1998PC36,,0,1998,,1106864,21093,0.031,36,0.624,691075,Madhya Pradesh
,,,,,Pary Mohan K.,,Pattali Makkal Katchi,Dharmapuri,,,Tamil Nadu,,SC,TN1998PC13,,0,1998,,1175234,99427,0.155,13,0.544,639529,Tamil Nadu
,,,,,Vijay Sankeshwar,,Bharatiya Janta Party,Dharwad North,,,Karnataka,,GEN,KA1998PC24,,0,1998,,1084875,129201,0.186,24,0.64,694185,Karnataka
,,,,,B.M.Menasinakai,,Lok Shakti,Dharwad South,,,Karnataka,,GEN,KA1998PC23,,0,1998,,1061612,86962,0.121,23,0.677,718159,Karnataka
,Unspecified (held various constituencies during her career),Various (served across Odisha),208,,Tathagata Satapathy,Nandini Satpathy,Biju Janata Dal,Dhenkanal,"Chief Minister of Odisha; Member of the Indian National Congress, later Janata Party",Mother,Orissa,Odisha,GEN,OR1998PC19,OR1998PC19,1,1998,"1972-1973, 1977-1980 (Chief Minister)",1090641,32511,0.055,19,0.544,593670,Orissa
,,,,,Abdul Hamid,,Indian National Congress,Dhubri,,,Assam,,GEN,AS1998PC04,,0,1998,,1049657,193638,0.25,4,0.737,773082,Assam
,Kudashi Village,Dhule,212,,D.S.Ahire,Unknown (Mrs. Ahire),Indian National Congress,Dhule,Sarpanch,Spouse,Maharashtra,Maharashtra,GEN,MH1998PC14,MH1998PC14,1,1998,2018,1086938,57686,0.115,14,0.461,501150,Maharashtra
,,,,,Samik Lahiri,,Communist Party Of India (MARXIST),Diamond Harbour,,,West Bengal,,GEN,WB1998PC17,,0,1998,,1122823,60956,0.068,17,0.798,896052,West Bengal
,Moran,Dibrugarh,214,,Paban Singh Ghatowar,Jibontara Ghatowar,Indian National Congress,Dibrugarh,Member of Legislative Assembly (MLA),Spouse,Assam,Assam,GEN,AS1998PC13,AS1998PC13,1,1998,2004-2016,945206,141122,0.37,13,0.403,381056,Assam
,,,,,Sreenivaasan C.,,All India Anna Dravida Munnetra Kazhagam,Dindigul,,,Tamil Nadu,,GEN,TN1998PC23,,0,1998,,1143880,15199,0.025,23,0.535,611642,Tamil Nadu
,,,,,Ram Pal Singh,,Bharatiya Janta Party,Domariaganj,,,Uttar Pradesh [1947 - 1999],,GEN,UP1998PC35,,0,1998,,1135814,74091,0.118,35,0.551,625386,Uttar Pradesh
,,,,,Tapan Sikdar,,Bharatiya Janta Party,Dum Dum,,,West Bengal,,SC,WB1998PC20,,0,1998,,1559854,137405,0.109,20,0.809,1262384,West Bengal
,,,,,Babu Lal Marandi,,Bharatiya Janta Party,Dumka,,,Bihar [1947 - 1999],,ST,BR1998PC27,,0,1998,,951918,12556,0.021,27,0.632,601894,Bihar
,,,,,Tarachand Sahu,,Bharatiya Janta Party,Durg,,,Madhya Pradesh [1947 - 1999],,GEN,MP1998PC21,,0,1998,,1260080,68718,0.088,21,0.617,777861,Madhya Pradesh
,,,,,Khan Sunil,,Communist Party Of India (MARXIST),Durgapur,,,West Bengal,,SC,WB1998PC37,,0,1998,,1191697,142029,0.154,37,0.774,921897,West Bengal
,,,,,Lal Bihari Tiwari,,Bharatiya Janta Party,East Delhi,,,Delhi [1977 Onwards],,GEN,DL1998PC04,,0,1998,,2264600,45362,0.039,4,0.514,1164867,Delhi
,,,,,Maganti Venkateswara Rao (BABU),,Indian National Congress,Eluru,,,Andhra Pradesh,,GEN,AP1998PC11,,0,1998,,1109524,23807,0.029,11,0.738,819312,Andhra Pradesh
,,,,,Annasaheb M.K.Patil,,Bharatiya Janta Party,Erandol,,,Maharashtra,,GEN,MH1998PC16,,0,1998,,1059006,24836,0.044,16,0.535,566334,Maharashtra
,,,,,Adv. George Eden,,Indian National Congress,Ernakulam,,,Kerala,,GEN,KL1998PC11,,0,1998,,1127002,74508,0.096,11,0.689,776105,Kerala
,,,,,Mahadeepak Singh,,Bharatiya Janta Party,Etah,,,Uttar Pradesh [1947 - 1999],,GEN,UP1998PC71,,0,1998,,1029678,12140,0.018,71,0.639,657622,Uttar Pradesh
,,,,,Sukhda Mishra,,Bharatiya Janta Party,Etawah,,,Uttar Pradesh [1947 - 1999],,GEN,UP1998PC66,,0,1998,,1136845,31038,0.046,66,0.588,668828,Uttar Pradesh
,,,,,Mitrasen Yadav,,Samajwadi Party,Faizabad,,,Uttar Pradesh [1947 - 1999],,GEN,UP1998PC28,,0,1998,,1233835,7737,0.012,28,0.543,669954,Uttar Pradesh
,,,,,Ramchander Bainda,,Bharatiya Janta Party,Faridabad,,,Haryana,,GEN,HR1998PC06,,0,1998,,1390542,15343,0.017,6,0.657,913821,Haryana
,Lambi (MLA); Firozpur (MP),Muktsar (Lambi); Firozpur (Parliament),228,,Sukhbir Singh Badal,Parkash Singh Badal,Shiromani Akali Dal,Faridkot,"Chief Minister, Punjab (five terms); Member of Parliament, MLA various terms",Father,Punjab,Punjab,GEN,PB1998PC12,PB1998PC12,1,1998,"1970-1971, 1977-1980, 1997-2002, 2007-2012, 2012-2017 (CM); Various years as MLA/MP",1202148,34959,0.04,12,0.727,873572,Punjab
,,,,,Swami Sachchianand Hari Sakshi,,Bharatiya Janta Party,Farrukhabad,,,Uttar Pradesh [1947 - 1999],,GEN,UP1998PC68,,0,1998,,1227779,32211,0.045,68,0.583,715326,Uttar Pradesh
,,,,,Ashok Kumar Patel,,Bharatiya Janta Party,Fatehpur,,,Uttar Pradesh [1947 - 1999],,GEN,UP1998PC58,,0,1998,,1152768,46436,0.078,58,0.516,594829,Uttar Pradesh
,,,,,Zora Singh,,Shiromani Akali Dal,Ferozepur,,,Punjab,,GEN,PB1998PC13,,0,1998,,1191975,44467,0.059,13,0.63,751205,Punjab
,,,,,Prabhu Dayal Katheria,,Bharatiya Janta Party,Firozabad,,,Uttar Pradesh [1947 - 1999],,SC,UP1998PC72,,0,1998,,1136685,39950,0.067,72,0.525,596945,Uttar Pradesh
,,,,,Lal Krishna Advani,,Bharatiya Janta Party,Gandhinagar,,,Gujarat,,GEN,GJ1998PC11,,0,1998,,1783182,276701,0.298,11,0.521,929643,Gujarat
,,,,,Eng. Shankar Pannu,,Indian National Congress,Ganganagar,,,Rajasthan,,SC,RJ1998PC01,,0,1998,,1196723,42761,0.059,1,0.606,725690,Rajasthan
,,,,,Maj. Gen.(RTD) BHUWAN CHANDRA KHANDURI (A.V.S.M.),,Bharatiya Janta Party,Garhwal,,,Uttar Pradesh [1947 - 1999],,GEN,UP1998PC02,,0,1998,,1001571,174947,0.341,2,0.513,513318,Uttar Pradesh
,,,,,Bhubaneswar Kalita,,Indian National Congress,Gauhati,,,Assam,,GEN,AS1998PC07,,0,1998,,1352453,128173,0.216,7,0.438,592536,Assam
,,,,,Krishna Kumar Chaudhary,,Bharatiya Janta Party,Gaya,,,Bihar [1947 - 1999],,SC,BR1998PC43,,0,1998,,1055017,37446,0.053,43,0.673,709506,Bihar
,,,,,Kamal Rani,,Bharatiya Janta Party,Ghatampur,,,Uttar Pradesh [1947 - 1999],,SC,UP1998PC63,,0,1998,,1097085,42489,0.076,63,0.51,559674,Uttar Pradesh
,,,,,Om Prakash,,Samajwadi Party,Ghazipur,,,Uttar Pradesh [1947 - 1999],,GEN,UP1998PC50,,0,1998,,1282487,17173,0.023,50,0.582,746070,Uttar Pradesh
,Ghosi,Mau,239,,Kalpnath Rai,Sudha Rai,Samata Party,Ghosi,"Lok Sabha Candidate, Congress",Spouse,Uttar Pradesh [1947 - 1999],Uttar Pradesh,GEN,UP1998PC44,UP1998PC44,1,1998,1999,1207083,18374,0.027,44,0.565,681565,Uttar Pradesh
,,,,,Rabindra Kumar Pandey,,Bharatiya Janta Party,Giridih,,,Bihar [1947 - 1999],,GEN,BR1998PC46,,0,1998,,1115417,68791,0.108,46,0.572,638383,Bihar
,,,,,Chinnasamy V.K.,,All India Anna Dravida Munnetra Kazhagam,Gobichettipalayam,,,Tamil Nadu,,SC,TN1998PC19,,0,1998,,1021268,114642,0.183,19,0.614,627372,Tamil Nadu
,,,,,Jagdambi Prasad Yadav,,Bharatiya Janta Party,Godda,,,Bihar [1947 - 1999],,GEN,BR1998PC28,,0,1998,,1086643,75680,0.105,28,0.662,719075,Bihar
,,,,,Patel Shantilal Parshotamdas,,Indian National Congress,Godhra,,,Gujarat,,GEN,GJ1998PC18,,0,1998,,1002945,39248,0.064,18,0.608,609319,Gujarat
,"Gonda (Lok Sabha), Gaura (Vidhan Sabha)",Gonda,244,,Kirti Vadhan Singh Alias Kirti Vardhan Singh Alias Raja Bhaiya,Kunwar Anand Singh,Samajwadi Party,Gonda,"Member of Parliament (Lok Sabha) from Gonda, Multiple-term MLA, Minister of Agriculture (Uttar Pradesh), Member of the Uttar Pradesh Assembly",Father,Uttar Pradesh [1947 - 1999],Uttar Pradesh,GEN,UP1998PC33,UP1998PC33,1,1998,"Lok Sabha: 1971-1977, 1980-1984, 1984-1989, 1989-1991; MLA: 1964, 1967, 1969, 2012; Minister: Akhilesh Yadav Government (2012-2017)",1169675,25555,0.041,33,0.535,625187,Uttar Pradesh
,,,,,Abdul Ghafoor,,Samata Party,Gopalganj,,,Bihar [1947 - 1999],,GEN,BR1998PC04,,0,1998,,1176915,68605,0.096,4,0.608,715380,Bihar
,Gorakhpur,Gorakhpur,248,,Adityanath,Mahant Avaidyanath,Bharatiya Janta Party,Gorakhpur,Member of Parliament (Lok Sabha),Spiritual Mentor and Adoptive Guru,Uttar Pradesh [1947 - 1999],Uttar Pradesh,GEN,UP1998PC38,UP1998PC38,1,1998,"1970, 1989, 1991, 1996, 1998",1246190,26206,0.041,38,0.512,638183,Uttar Pradesh
,,,,,Baswaraj Patil Sedam,,Bharatiya Janta Party,Gulbarga,,,Karnataka,,GEN,KA1998PC02,,0,1998,,1274111,131798,0.175,2,0.59,751734,Karnataka
,,,,,Rajmata Vijaya Raje Scindia,,Bharatiya Janta Party,Guna,,,Madhya Pradesh [1947 - 1999],,GEN,MP1998PC04,,0,1998,,1216266,102998,0.14,4,0.604,734181,Madhya Pradesh
,Unknown,Unknown,254,,Rayapati Sambasiva Rao,Gogineni Kanakaiah,Indian National Congress,Guntur,Prominent politician; inspired Sambasiva Rao's political career,Maternal Uncle,Andhra Pradesh,Andhra Pradesh,GEN,AP1998PC15,AP1998PC15,1,1998,Unknown,1264693,57347,0.075,15,0.602,760884,Andhra Pradesh
,Gurdaspur,Gurdaspur,255,,Vinod Khanna,Pramod Khanna,Bharatiya Janta Party,Gurdaspur,Contested for parliamentary seat (Bharatiya Janata Party),Brother,Punjab,Punjab,GEN,PB1998PC01,PB1998PC01,1,1998,2019,1091312,106833,0.15,1,0.653,712706,Punjab
,"Guna, Bhind, Gwalior (various terms)","Guna, Bhind, Gwalior",256,,Madhav Rao Scindia,Vijayaraje Scindia,Indian National Congress,Gwalior,"Member of Parliament (Lok Sabha, Rajya Sabha), Bharatiya Jana Sangh, Janata Party, Bharatiya Janata Party",Mother,Madhya Pradesh [1947 - 1999],Madhya Pradesh,GEN,MP1998PC03,MP1998PC03,1,1998,1957-1998,1205016,26279,0.036,3,0.602,725651,Madhya Pradesh
,,,,,Ram Vilas Paswan,,Janata Dal,Hajipur,,,Bihar [1947 - 1999],,SC,BR1998PC08,,0,1998,,1067712,177561,0.221,8,0.752,802854,Bihar
,,,,,Suresh Chandel,,Bharatiya Janta Party,Hamirpur,,,Himachal Pradesh,,SC,HP1998PC04,,0,1998,,891303,77909,0.122,4,0.718,640059,Himachal Pradesh
,,,,,Ganga Charan S/o Ram Swaroop,,Bharatiya Janta Party,Hamirpur,,,Uttar Pradesh [1947 - 1999],,GEN,UP1998PC60,,0,1998,,1041426,18137,0.031,60,0.564,587089,Uttar Pradesh
,,,,,Chada Suresh Reddy,,Telugu Desam,Hanamkonda,,,Andhra Pradesh,,GEN,AP1998PC38,,0,1998,,1116538,45491,0.072,38,0.565,630487,Andhra Pradesh
,,,,,Ramesh Chand Tomar,,Bharatiya Janta Party,Hapur,,,Uttar Pradesh [1947 - 1999],,GEN,UP1998PC79,,0,1998,,1529259,161962,0.209,79,0.507,774838,Uttar Pradesh
,Kheri,Lakhimpur Kheri,270,,Usha Varma,Ravi Prakash Varma,Samajwadi Party,Hardoi,"Member of Parliament, Lok Sabha",Spouse,Uttar Pradesh [1947 - 1999],Uttar Pradesh,SC,UP1998PC19,UP1998PC19,1,1998,"1998, 1999, 2004",1086533,15426,0.027,19,0.523,568582,Uttar Pradesh
,,,,,Harpal Singh Sathi,,Bharatiya Janta Party,Hardwar,,,Uttar Pradesh [1947 - 1999],,SC,UP1998PC85,,0,1998,,1170000,129873,0.18,85,0.616,720377,Uttar Pradesh
,,,,,H D Devegowda,,Janata Dal,Hassan,,,Karnataka,,GEN,KA1998PC19,,0,1998,,1172571,31654,0.037,19,0.737,864621,Karnataka
,,,,,Kishan Lal Diler,,Bharatiya Janta Party,Hathras,,,Uttar Pradesh [1947 - 1999],,SC,UP1998PC75,,0,1998,,1130805,142580,0.265,75,0.476,537999,Uttar Pradesh
,,,,,Yashwant Sinha,,Bharatiya Janta Party,Hazaribagh,,,Bihar [1947 - 1999],,GEN,BR1998PC48,,0,1998,,1213735,163506,0.232,48,0.58,704206,Bihar
,,,,,S.Gangadhar,,Indian National Congress,Hindupur,,,Andhra Pradesh,,GEN,AP1998PC24,,0,1998,,1152897,26138,0.039,24,0.582,671283,Andhra Pradesh
,,,,,Suryakanta Patil,,Indian National Congress,Hingoli,,,Maharashtra,,GEN,MH1998PC29,,0,1998,,1036294,77666,0.116,29,0.648,671786,Maharashtra
,,,,,Surender Singh Barwala,,Haryana Lok Dal (RASTRIYA),Hissar,,,Haryana,,GEN,HR1998PC09,,0,1998,,1026332,80491,0.11,9,0.715,733865,Haryana
,,,,,Rupchand Pal,,Communist Party Of India (MARXIST),Hooghly,,,West Bengal,,GEN,WB1998PC27,,0,1998,,1137353,6116,0.006,27,0.83,943670,West Bengal
,,,,,Sartaj Singh,,Bharatiya Janta Party,Hoshangabad,,,Madhya Pradesh [1947 - 1999],,GEN,MP1998PC29,,0,1998,,1089201,68981,0.092,29,0.685,746475,Madhya Pradesh
,,,,,Kamal Chaudhury,,Bharatiya Janta Party,Hoshiarpur,,,Punjab,,GEN,PB1998PC06,,0,1998,,1080594,65332,0.109,6,0.552,596831,Punjab
,,,,,Dr Bikram Sarkar,,West Bengal Trinamool Congress,Howrah,,,West Bengal,,GEN,WB1998PC24,,0,1998,,1367313,6535,0.006,24,0.752,1027782,West Bengal
,Unknown,Hyderabad,279,,Sultan Salahuddin Owaisi,Abdul Wahid Owaisi,All India Majlis-E-Ittehadul Muslimoon,Hyderabad,President of All India Majlis-e-Ittehadul Muslimeen (AIMIM),Father,Andhra Pradesh,Andhra Pradesh,GEN,AP1998PC30,AP1998PC30,1,1998,1958–1976,1507135,71612,0.065,30,0.732,1102649,Andhra Pradesh
,,,,,Awade Kallappa Baburao,,Indian National Congress,Ichalkaranji,,,Maharashtra,,GEN,MH1998PC47,,0,1998,,1099466,12194,0.017,47,0.666,732536,Maharashtra
,,,,,P.C.Chacko,,Indian National Congress,Idukki,,,Kerala,,GEN,KL1998PC14,,0,1998,,1053290,6350,0.009,14,0.683,719111,Kerala
,,,,,Sumitra Mahajan,,Bharatiya Janta Party,Indore,,,Madhya Pradesh [1947 - 1999],,GEN,MP1998PC37,,0,1998,,1423528,49852,0.058,37,0.601,855802,Madhya Pradesh
,,,,,Thounaojam Chaoba Singh,,Manipur State Congress Party,Inner Manipur,,,Manipur,,GEN,MN1998PC01,,0,1998,,640500,16187,0.037,1,0.681,436131,Manipur
,,,,,Dada Baburao Paranjpe,,Bharatiya Janta Party,Jabalpur,,,Madhya Pradesh [1947 - 1999],,GEN,MP1998PC25,,0,1998,,1194689,84115,0.129,25,0.546,652151,Madhya Pradesh
,,,291,,Krishna Bose,Sisir Kumar Bose,West Bengal Trinamool Congress,Jadavpur,Freedom fighter; involved in Indian independence movement; did not hold elected office but played a prominent political role in pre-independence activism and was a significant figure in the Bose family political legacy,Spouse,West Bengal,West Bengal,GEN,WB1998PC18,WB1998PC18,1,1998,1940s (Freedom Movement),1379055,78201,0.073,18,0.774,1067448,West Bengal
,Tirtol,Jagatsinghpur,294,,Ranjib Biswal,Basanta Kumar Biswal,Indian National Congress,Jagatsinghpur,"Deputy Chief Minister of Odisha, MLA",Father,Orissa,Odisha,SC,OR1998PC07,OR1998PC07,1,1998,1995-1999 (Deputy CM); MLA (multiple terms),1183473,19929,0.026,7,0.642,759243,Orissa
,,,,,Surendra Prasad Yadav,,Rashtriya Janata Dal,Jahanabad,,,Bihar [1947 - 1999],,GEN,BR1998PC41,,0,1998,,1096143,58907,0.069,41,0.774,848510,Bihar
,,,,,Girdhari Lal Bhargava,,Bharatiya Janta Party,Jaipur,,,Rajasthan,,GEN,RJ1998PC06,,0,1998,,1622629,138971,0.174,6,0.493,799930,Rajasthan
,,,,,Rama Chandra Mallick,,Indian National Congress,Jajpur,,,Orissa,,ST,OR1998PC04,,0,1998,,1138819,91864,0.147,4,0.55,626155,Orissa
,,,,,Bhanu Pratap Singh,,Bharatiya Janta Party,Jalaun,,,Uttar Pradesh [1947 - 1999],,SC,UP1998PC62,,0,1998,,1153989,45640,0.074,62,0.533,615288,Uttar Pradesh
,,,,,Professor. S.P. Singh Baghel,,Samajwadi Party,Jalesar,,,Uttar Pradesh [1947 - 1999],,GEN,UP1998PC70,,0,1998,,1108249,2734,0.004,70,0.615,681911,Uttar Pradesh
,Unknown,Jalgaon,302,,Dr.Ulhas Vasudeo Patil,Dr. Varsha Patil,Indian National Congress,Jalgaon,"Suspended Member, Indian National Congress (district-level)",Spouse,Maharashtra,Maharashtra,GEN,MH1998PC17,MH1998PC17,1,1998,Until 2024,1087623,56814,0.089,17,0.587,637925,Maharashtra
,,,,,Pawar Uttamsinh Rajdharsinh,,Bharatiya Janta Party,Jalna,,,Maharashtra,,GEN,MH1998PC32,,0,1998,,1094048,1808,0.003,32,0.591,646550,Maharashtra
,,,,,Buta Singh,,Independent,Jalore,,,Rajasthan,,GEN,RJ1998PC22,,0,1998,,1222674,166085,0.241,22,0.563,687949,Rajasthan
,,,,,Minati Sen,,Communist Party Of India (MARXIST),Jalpaiguri,,,West Bengal,,SC,WB1998PC03,,0,1998,,1085257,174975,0.197,3,0.818,887722,West Bengal
,,,,,Vaid Vishno Dutt,,Bharatiya Janta Party,Jammu,,,Jammu & Kashmir,,GEN,JK1998PC06,,0,1998,,1442853,127901,0.162,6,0.547,789529,Jammu & Kashmir
,,,,,Koradia Chandreshbhai Valjibhai (CHANDRESH PATEL),,Bharatiya Janta Party,Jamnagar,,,Gujarat,,GEN,GJ1998PC03,,0,1998,,926820,60119,0.122,3,0.532,493374,Gujarat
,Jamshedpur,East Singhbhum,308,,Abha Mahato,Shailendra Mahato,Bharatiya Janta Party,Jamshedpur,Member of Parliament (Lok Sabha),Spouse,Bihar [1947 - 1999],Bihar,GEN,BR1998PC50,BR1998PC50,1,1998,"1989, 1991",1160562,97433,0.135,50,0.624,724308,Bihar
,,,,,Abul Hasnat Khan,,Communist Party Of India (MARXIST),Jangipur,,,West Bengal,,GEN,WB1998PC08,,0,1998,,1071189,72501,0.086,8,0.785,840406,West Bengal
,Champa,Janjgir-Champa,310,,Charandas Mahant,Bisahu Das Mahant,Indian National Congress,Janjgir,MLA and State Minister (Congress) in undivided Madhya Pradesh,Father,Madhya Pradesh [1947 - 1999],Madhya Pradesh,GEN,MP1998PC14,MP1998PC14,1,1998,1962–1978 (MLA for 6 terms until his death),1170919,44586,0.061,14,0.623,729788,Madhya Pradesh
,Barsathi,Jaunpur,313,,Paras Nath Yadav,Hirawati Devi,Samajwadi Party,Jaunpur,Block Pramukh (Block Chief) of Barsathi,Spouse,Uttar Pradesh [1947 - 1999],Uttar Pradesh,GEN,UP1998PC48,UP1998PC48,1,1998,Unknown–2016,1263162,13426,0.019,48,0.561,708565,Uttar Pradesh
,,,,,Kantilal Bhuriya,,Indian National Congress,Jhabua,,,Madhya Pradesh [1947 - 1999],,ST,MP1998PC39,,0,1998,,1069543,82373,0.137,39,0.564,602636,Madhya Pradesh
,"Gwalior (Lok Sabha, Rajya Sabha from Madhya Pradesh)",Gwalior,315,,Vasundhara Raje,Vijaya Raje Scindia,Bharatiya Janta Party,Jhalawar,"Former Member of Parliament (Lok Sabha and Rajya Sabha), Senior Leader in Bharatiya Jana Sangh and Bharatiya Janata Party",Mother,Rajasthan,Madhya Pradesh,GEN,RJ1998PC15,RJ1998PC15,1,1998,1957-1998 (multiple terms),1033593,63567,0.099,15,0.623,643983,Rajasthan
