pc name,no,type,state,winning candidate,party,electors,votes,turnout,UID
Surguja,186,GEN,Madhya Pradesh [1947 - 1999],Singh Maharajkumar Chandikeshwar Sharan,Indian National Congress,780916,462295,29.6 %,MP1957PC186
Surguja,186,GEN,Madhya Pradesh [1947 - 1999],Singh Babunath,Indian National Congress,780916,462295,29.6 %,MP1957PC186
Tamulk,384,GEN,West Bengal,Satish Chandra Samanta,Indian National Congress,447374,312236,69.8 %,WB1957PC384
Tanjore,207,GEN,Madras,R. Venkataraman,Indian National Congress,425088,233532,54.9 %,TN1957PC207
Tarn Taran,272,GEN,Punjab,Surjit Singh Majithia,Indian National Congress,407970,263853,64.7 %,PB1957PC272
Tehri Garhwal,300,GEN,Uttar Pradesh [1947 - 1999],H. H. Maharaja Manvendra Shah,Indian National Congress,395937,140313,35.4 %,UP1957PC300
Tellicherry,163,GEN,Kerala,M. K. Jinachandran,Indian National Congress,468639,296394,63.3 %,KL1957PC163
Tenali,12,GEN,Andhra Pradesh,N.G. Ranga,Indian National Congress,460055,271205,59.0 %,AP1957PC12
Tenkasi,217,GEN,Madras,M. Sankarapandian,Indian National Congress,441227,246842,55.9 %,TN1957PC217
Thana,115,GEN,Bombay,Matera Laxman Mahadya,Communist Party Of India,703805,819055,58.2 %,MH1957PC115
Thana,115,GEN,Bombay,Parulekar Shamrao Vishnu,Communist Party Of India,703805,819055,58.2 %,MH1957PC115
Thiruvalla,153,GEN,Kerala,Vasudevan Nair P. K.,Communist Party Of India,407397,300891,73.9 %,KL1957PC153
Thiruvannamalai,197,GEN,Madras,Dharmalingam,Independent,426665,201960,47.3 %,TN1957PC197
Tindivanam,203,GEN,Madras,Shanmugham,Independent,418327,202831,48.5 %,TN1957PC203
Tiptur,241,GEN,Mysore,C. R. Basappa,Indian National Congress,401372,214912,53.5 %,KA1957PC241
Tiruchendur,215,GEN,Madras,T. Ganapathy,Indian National Congress,448411,RU,,TN1957PC215
Tiruchengode,200,GEN,Madras,Dr. P. Subbarayan,Indian National Congress,409325,150612,36.8 %,TN1957PC200
Tiruchirappalli,210,GEN,Madras,M. K. M. Abdul Salam,Indian National Congress,417789,215752,51.6 %,TN1957PC210
Tirunelveli,216,GEN,Madras,P. T. Thanu Pillai,Indian National Congress,445857,208476,46.8 %,TN1957PC216
Tiruppattur,198,GEN,Madras,A. Duraisami Gounder,Indian National Congress,418543,160629,38.4 %,TN1957PC198
Tiruvallur,195,GEN,Madras,R. Govindarajulu Naidu,Indian National Congress,405032,185446,45.8 %,TN1957PC195
Trichur,158,GEN,Kerala,Krishnan,Communist Party Of India,399347,280441,70.2 %,KL1957PC158
Tripura,403,GEN,Tripura,Deb Barma Bangshi,Indian National Congress,432902,550338,63.6 %,TR1957PC403
Tripura,403,GEN,Tripura,Deb Dasaratha,Communist Party Of India,432902,550338,63.6 %,TR1957PC403
Trivandrum,149,GEN,Kerala,Easwara Iyer,Independent,409120,288976,70.6 %,KL1957PC149
Tumkur,242,GEN,Mysore,M. V. Krishnappa,Indian National Congress,382008,194201,50.8 %,KA1957PC242
Udaipur,289,GEN,Rajasthan,Manikya Lal Verma,Indian National Congress,732882,467004,31.9 %,RJ1957PC289
Udaipur,289,GEN,Rajasthan,Deen Bandhu,Indian National Congress,732882,467004,31.9 %,RJ1957PC289
Udipi,248,GEN,Mysore,Srinivasa Malliah U,Indian National Congress,412748,216205,52.4 %,KA1957PC248
Ujjain,169,GEN,Madhya Pradesh [1947 - 1999],Vyas Radhelal Beharilal,Indian National Congress,386502,170293,44.1 %,MP1957PC169
Uluberia,380,GEN,West Bengal,Aurobinda Ghosal,Forward Bloc (MARXIST),456093,232984,51.1 %,WB1957PC380
Unnao,361,GEN,Uttar Pradesh [1947 - 1999],Vishambhar Dayal,Indian National Congress,819996,648107,39.5 %,UP1957PC361
Unnao,361,GEN,Uttar Pradesh [1947 - 1999],Ganga Devi,Indian National Congress,819996,648107,39.5 %,UP1957PC361
Varanasi,336,GEN,Uttar Pradesh [1947 - 1999],Raghunath Singh,Indian National Congress,384576,240997,62.7 %,UP1957PC336
Vellore,196,GEN,Madras,N. R. Munisamy,Indian National Congress,801572,750365,46.8 %,TN1957PC196
Vellore,196,GEN,Madras,M. Muthukrishnan,Indian National Congress,801572,750365,46.8 %,TN1957PC196
Vicarabad,27,GEN,Andhra Pradesh,Sangam Lakshmi Bai,Indian National Congress,393492,RU,,AP1957PC27
Vijayawada,10,GEN,Andhra Pradesh,Komarraju Achamamba,Indian National Congress,406776,239762,58.9 %,AP1957PC10
Visakhapatnam,3,GEN,Andhra Pradesh,Pusapati Vijayarama Gajapathi Raju,Independent,371425,136779,36.8 %,AP1957PC03
Warangal,32,GEN,Andhra Pradesh,Sadat Ali Khan,Indian National Congress,343246,199543,58.1 %,AP1957PC32
Wardha,141,GEN,Bombay,Bajaj Kamalnayan Jamnalal,Indian National Congress,443289,281686,63.5 %,MH1957PC141
West Dinajpur,368,GEN,West Bengal,Selku Mardi,Indian National Congress,736998,608460,41.3 %,WB1957PC368
West Dinajpur,368,GEN,West Bengal,Chaplalkanta Bhattacharjee,Indian National Congress,736998,608460,41.3 %,WB1957PC368
West Khandesh,131,ST,Bombay,Valvi Laxman Vedu,Praja Socialist Party,356275,159181,44.7 %,MH1957PC131
Yeotmal,142,GEN,Bombay,Gohokar Deorao Yeshwant,Indian National Congress,352475,234860,66.6 %,MH1957PC142
Zalawad,92,GEN,Bombay,Oza Ghanshyamlal Chhotalal,Indian National Congress,365781,179299,49.0 %,MH1957PC92
{"UID": "AP1957PC30", "error": "NotFoundError(\"Error code: 404 - {'error': {'code': '404', 'message': 'Resource not found'}}\")"}
{"UID": "AP1957PC22", "error": "NotFoundError(\"Error code: 404 - {'error': {'code': '404', 'message': 'Resource not found'}}\")"}
